session,input,cached,output,total
rollout-2026-08-04T07-26-02-019fc9bb-e7e6-7cd0-9996-f72000b342a8.jsonl,871793,810752,9245,881038
rollout-2026-08-04T07-30-26-019fc9bf-edd6-7831-8eba-a599048ac93b.jsonl,1272800,1203712,12543,1285343
TOTAL,2144593,2014464,21788,2166381
